School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout
Air Force,Mt. West,Troy Calhoun,885000.00,885000.00,247000.00,--,$0 ,--
Akron,MAC,Terry Bowden,411000.00,412500.00,225000.00,50000.00,$0 ,"$688,500 "
Alabama,SEC,Nick Saban,8307000.00,8307000.00,1100000.00,500000.00,$0 ,"$33,600,000 "
Alabama at Birmingham,C-USA,Bill Clark,900000.00,900000.00,950000.00,165471.00,$0 ,"$3,847,500 "
Appalachian State,Sun Belt,Scott Satterfield,712500.00,712500.00,295000.00,145000.00,$0 ,"$2,160,417 "
Arizona,Pac-12,Kevin Sumlin,1600000.00,2000000.00,2025000.00,--,$0 ,"$10,000,000 "
Arizona State,Pac-12,Herm Edwards,2000000.00,2000000.00,3010000.00,--,$0 ,"$8,166,667 "
Arkansas,SEC,Chad Morris,3500000.00,3500000.00,1000000.00,--,$0 ,"$12,500,000 "
Arkansas State,Sun Belt,Blake Anderson,825000.00,825000.00,185000.00,25000.00,$0 ,"$300,000 "
Army,Ind.,Jeff Monken,932521.00,932521.00,--,--,$0 ,--
Auburn,SEC,Gus Malzahn,6700000.00,6705656.00,1400000.00,375000.00,$0 ,"$32,143,750 "
Ball State,MAC,Mike Neu,435689.00,435689.00,380000.00,30000.00,$0 ,"$980,300 "
Baylor,Big 12,Matt Rhule,--,--,--,--,$0 ,--
Boise State,Mt. West,Bryan Harsin,1650010.00,1650010.00,475000.00,145000.00,$0 ,"$7,784,038 "
Boston College,ACC,Steve Addazio,2514859.00,2514859.00,--,--,$0 ,--
Bowling Green,MAC,Mike Jinks,437228.00,437228.00,245000.00,81250.00,$0 ,"$874,456 "
Brigham Young,Ind.,Kalani Sitake,--,--,--,--,$0 ,--
Buffalo,MAC,Lance Leipold,455500.00,455500.00,381000.00,0.00,$0 ,"$1,020,833 "
California,Pac-12,Justin Wilcox,1500000.00,1500000.00,900000.00,75000.00,$0 ,"$7,208,500 "
Central Florida,AAC,Josh Heupel,1700000.00,1700000.00,250000.00,--,$0 ,"$3,587,500 "
Central Michigan,MAC,John Bonamego,655000.00,655000.00,415000.00,45000.00,$0 ,"$1,125,000 "
Charlotte,C-USA,Brad Lambert,625000.00,625000.00,120000.00,0.00,$0 ,"$556,389 "
Cincinnati,AAC,Luke Fickell,2000000.00,2000000.00,625000.00,0.00,$0 ,"$7,100,000 "
Clemson,ACC,Dabo Swinney,6205000.00,6543350.00,1125000.00,500000.00,$0 ,"$35,000,000 "
Coastal Carolina,Sun Belt,Joe Moglia,400000.00,400000.00,800000.00,25000.00,$0 ,"$516,667 "
Colorado,Pac-12,Mike MacIntyre,2878500.00,2878500.00,2150000.00,297000.00,$0 ,"$10,314,583 "
Colorado State,Mt. West,Mike Bobo,1800000.00,1800000.00,905000.00,50000.00,$0 ,"$8,000,000 "
Connecticut,AAC,Randy Edsall,1100000.00,1100000.00,650000.00,129000.00,$0 ,"$1,000,000 "
Duke,ACC,David Cutcliffe,2540928.00,2540928.00,--,--,$0 ,--
East Carolina,AAC,Scottie Montgomery,1102500.00,1102500.00,850000.00,0.00,$0 ,"$1,233,333 "
Eastern Michigan,MAC,Chris Creighton,460000.00,460000.00,395000.00,10000.00,$0 ,"$950,000 "
Florida,SEC,Dan Mullen,6070000.00,6070000.00,925000.00,--,$0 ,"$12,000,000 "
Florida Atlantic,C-USA,Lane Kiffin,1000000.00,1000000.00,1150000.00,40000.00,$0 ,"$2,850,000 "
Florida International,C-USA,Butch Davis,945000.00,945000.00,550000.00,35000.00,$0 ,"$3,185,626 "
Florida State,ACC,Willie Taggart,5000000.00,5000000.00,1475000.00,--,$0 ,"$21,958,333 "
Fresno State,Mt. West,Jeff Tedford,1550000.00,1550000.00,2765000.00,1240000.00,$0 ,"$5,440,000 "
Georgia,SEC,Kirby Smart,6603600.00,6603600.00,1150000.00,1350000.00,$0 ,"$27,917,500 "
Georgia Southern,Sun Belt,Chad Lunsford,650000.00,650000.00,295000.00,--,$0 ,"$83,333 "
Georgia State,Sun Belt,Shawn Elliott,569000.00,569000.00,220000.00,60000.00,$0 ,"$1,500,000 "
Georgia Tech,ACC,Paul Johnson,3060018.00,3060018.00,1330000.00,225000.00,$0 ,"$4,000,000 "
Hawaii,Mt. West,Nick Rolovich,425004.00,486504.00,1260000.00,0.00,$0 ,"$300,000 "
Houston,AAC,Major Applewhite,1750000.00,1750000.00,782500.00,20000.00,$0 ,"$2,112,500 "
Illinois,Big Ten,Lovie Smith,5000000.00,5000000.00,1000000.00,50000.00,$0 ,"$12,636,991 "
Indiana,Big Ten,Tom Allen,1830000.00,1830000.00,1441668.00,0.00,$0 ,"$2,000,000 "
Iowa,Big Ten,Kirk Ferentz,4700000.00,4700000.00,2875000.00,600000.00,$0 ,"$22,396,250 "
Iowa State,Big 12,Matt Campbell,3500000.00,3500000.00,750000.00,650000.00,$0 ,"$19,291,667 "
Kansas,Big 12,David Beaty,1701109.00,1701109.00,2000000.00,0.00,$0 ,"$3,000,000 "
Kansas State,Big 12,Bill Snyder,3500000.00,3500000.00,580000.00,50000.00,$0 ,"$3,000,000 "
Kent State,MAC,Sean Lewis,440000.00,440000.00,406000.00,--,$0 ,"$1,150,000 "
Kentucky,SEC,Mark Stoops,4000000.00,4013600.00,3100000.00,300000.00,$0 ,"$15,625,000 "
Liberty,Ind.,Turner Gill,947281.00,947281.00,--,--,$0 ,--
Louisiana Tech,C-USA,Skip Holtz,700000.00,700000.00,395000.00,0.00,$0 ,"$2,508,333 "
Louisiana-Lafayette,Sun Belt,Billy Napier,850000.00,850000.00,435000.00,--,$0 ,"$2,671,875 "
Louisiana-Monroe,Sun Belt,Matt Viator,390000.00,390000.00,50000.00,0.00,$0 ,"$175,000 "
Louisville,ACC,Bobby Petrino,3980434.00,3980434.00,1472917.00,869917.00,$0 ,"$14,056,250 "
LSU,SEC,Ed Orgeron,3500000.00,3500000.00,1575000.00,100000.00,$0 ,"$5,291,667 "
Marshall,C-USA,Doc Holliday,762570.00,762570.00,145000.00,55000.00,$0 ,"$1,951,708 "
Maryland,Big Ten,DJ Durkin,2512000.00,2512000.00,625000.00,0.00,$0 ,"$5,096,178 "
Massachusetts,Ind.,Mark Whipple,500000.00,500000.00,305000.00,20000.00,$0 ,"$300,000 "
Memphis,AAC,Mike Norvell,2600000.00,2600000.00,775000.00,185000.00,$0 ,"$7,431,667 "
Miami (Fla.),ACC,Mark Richt,4058061.00,4058061.00,--,--,$0 ,--
Miami (Ohio),MAC,Chuck Martin,524826.00,524826.00,582110.00,12669.00,$0 ,"$522,300 "
Michigan,Big Ten,Jim Harbaugh,7504000.00,7504000.00,1325000.00,150000.00,$0 ,"$17,111,110 "
Michigan State,Big Ten,Mark Dantonio,4390417.00,4390417.00,650000.00,125000.00,$0 ,"$7,000,000 "
Middle Tennessee,C-USA,Rick Stockstill,801504.00,803004.00,126142.00,65142.00,$0 ,"$6,633,774 "
Minnesota,Big Ten,P.J. Fleck,3550000.00,3550000.00,900000.00,0.00,$0 ,"$9,291,667 "
Mississippi,SEC,Matt Luke,3000000.00,3000000.00,1550000.00,--,$0 ,$0 
Mississippi State,SEC,Joe Moorhead,2600000.00,2600000.00,1350000.00,--,$0 ,$0 
Missouri,SEC,Barry Odom,2350000.00,2350000.00,1025000.00,375000.00,$0 ,"$1,912,500 "
Navy,AAC,Ken Niumatalolo,2163000.00,2163000.00,--,--,$0 ,--
Nebraska,Big Ten,Scott Frost,5000000.00,5000000.00,950000.00,--,$0 ,"$25,416,667 "
Nevada,Mt. West,Jay Norvell,500000.00,500000.00,210000.00,0.00,$0 ,"$900,000 "
Nevada-Las Vegas,Mt. West,Tony Sanchez,600000.00,600000.00,260000.00,0.00,$0 ,"$950,000 "
New Mexico,Mt. West,Bob Davie,822690.00,823740.00,340000.00,0.00,$0 ,"$1,303,294 "
New Mexico State,Ind.,Doug Martin,419640.00,419640.00,220000.00,20000.00,$0 ,"$1,532,790 "
North Carolina,ACC,Larry Fedora,2575000.00,2575000.00,900000.00,50000.00,$0 ,"$12,215,625 "
North Carolina State,ACC,Dave Doeren,3000000.00,3000000.00,1350000.00,275000.00,$0 ,"$6,125,000 "
North Texas,C-USA,Seth Littrell,1425000.00,1425000.00,580000.00,130000.00,$0 ,"$4,425,000 "
Northern Illinois,MAC,Rod Carey,633460.00,633460.00,205000.00,42500.00,$0 ,"$1,822,918 "
Northwestern,Big Ten,Pat Fitzgerald,3619775.00,3619775.00,--,--,$0 ,--
Notre Dame,Ind.,Brian Kelly,2129638.00,2129638.00,--,--,$0 ,--
Ohio,MAC,Frank Solich,580331.00,580331.00,333833.00,60772.00,$0 ,"$558,275 "
Ohio State,Big Ten,Urban Meyer,7600000.00,7600000.00,775000.00,350000.00,$0 ,"$38,058,402 "
Oklahoma,Big 12,Lincoln Riley,4800000.00,4800000.00,700000.00,180000.00,$0 ,"$20,833,333 "
Oklahoma State,Big 12,Mike Gundy,5000000.00,5000000.00,900000.00,62500.00,$0 ,"$16,250,000 "
Old Dominion,C-USA,Bobby Wilder,654667.00,654667.00,504895.00,0.00,$0 ,"$1,200,000 "
Oregon,Pac-12,Mario Cristobal,2500000.00,2500000.00,1825000.00,--,$0 ,"$5,208,333 "
Oregon State,Pac-12,Jonathan Smith,1900008.00,1900008.00,1275000.00,--,$0 ,"$4,037,517 "
Penn State,Big Ten,James Franklin,4800000.00,4800000.00,1000000.00,300000.00,$0 ,"$18,375,000 "
Pittsburgh,ACC,Pat Narduzzi,3017718.00,3017718.00,--,--,$0 ,--
Purdue,Big Ten,Jeff Brohm,3800000.00,3800000.00,1290000.00,180000.00,$0 ,"$21,516,667 "
Rice,C-USA,Mike Bloomgren,--,--,--,--,$0 ,--
Rutgers,Big Ten,Chris Ash,2200000.00,2200000.00,960000.00,50000.00,$0 ,"$10,350,000 "
San Diego State,Mt. West,Rocky Long,872576.00,873576.00,720000.00,95000.00,$0 ,"$447,412 "
San Jose State,Mt. West,Brent Brennan,590424.00,590424.00,210000.00,0.00,$0 ,"$1,476,060 "
South Alabama,Sun Belt,Steve Campbell,600000.00,600000.00,295000.00,--,$0 ,"$918,333 "
South Carolina,SEC,Will Muschamp,4200000.00,4200000.00,1400000.00,100000.00,$0 ,"$18,650,000 "
South Florida,AAC,Charlie Strong,1000000.00,1000000.00,815000.00,70000.00,$0 ,"$192,308 "
Southern California,Pac-12,Clay Helton,2625965.00,2625965.00,--,--,$0 ,--
Southern Methodist,AAC,Sonny Dykes,--,--,--,--,$0 ,--
Southern Mississippi,C-USA,Jay Hopson,500000.00,500000.00,870000.00,15000.00,$0 ,"$1,583,333 "
Stanford,Pac-12,David Shaw,4311543.00,4311543.00,--,--,$0 ,--
Syracuse,ACC,Dino Babers,2401206.00,2401206.00,--,--,$0 ,--
Tennessee,SEC,Jeremy Pruitt,3846000.00,3846000.00,1200000.00,--,$0 ,"$11,780,000 "
Texas,Big 12,Tom Herman,5500000.00,5500000.00,725000.00,75000.00,$0 ,"$15,416,667 "
Texas A&M,SEC,Jimbo Fisher,7500000.00,7500000.00,1350000.00,--,$0 ,"$68,125,000 "
Texas Christian,Big 12,Gary Patterson,4840717.00,4840717.00,--,--,$0 ,--
Texas State,Sun Belt,Everett Withers,700000.00,700000.00,70833.00,0.00,$0 ,"$773,958 "
Texas Tech,Big 12,Kliff Kingsbury,3703975.00,3703975.00,1500000.00,25000.00,$0 ,"$4,231,250 "
Texas-El Paso,C-USA,Dana Dimel,700000.00,700000.00,741665.00,--,$0 ,"$2,991,667 "
Texas-San Antonio,C-USA,Frank Wilson,1100000.00,1100000.00,185000.00,17500.00,$0 ,"$3,562,500 "
Toledo,MAC,Jason Candle,1125000.00,1125000.00,585000.00,210000.00,$0 ,"$3,558,333 "
Troy,Sun Belt,Neal Brown,810000.00,810000.00,490000.00,100000.00,$0 ,"$2,911,667 "
Tulane,AAC,Willie Fritz,1629000.00,1629000.00,--,--,$0 ,--
Tulsa,AAC,Philip Montgomery,1518177.00,1518177.00,--,--,$0 ,--
UCLA,Pac-12,Chip Kelly,3300000.00,3300000.00,1085000.00,--,$0 ,"$9,000,000 "
Utah,Pac-12,Kyle Whittingham,3787917.00,3787917.00,935000.00,279167.00,$0 ,"$9,250,000 "
Utah State,Mt. West,Matt Wells,900000.00,900000.00,765000.00,65000.00,$0 ,"$2,122,917 "
Vanderbilt,SEC,Derek Mason,2812523.00,2812523.00,--,--,$0 ,--
Virginia,ACC,Bronco Mendenhall,3550000.00,3550000.00,2165000.00,75000.00,$0 ,"$18,193,750 "
Virginia Tech,ACC,Justin Fuente,4000000.00,4000000.00,435000.00,75000.00,$0 ,"$15,000,000 "
Wake Forest,ACC,Dave Clawson,1831580.00,1831580.00,--,--,$0 ,--
Washington,Pac-12,Chris Petersen,4375000.00,4377500.00,1050000.00,300000.00,$0 ,"$26,354,166 "
Washington State,Pac-12,Mike Leach,3500000.00,3500000.00,725000.00,75000.00,$0 ,"$4,900,000 "
West Virginia,Big 12,Dana Holgorsen,3605000.00,3617500.00,1000000.00,90000.00,$0 ,"$7,150,000 "
Western Kentucky,C-USA,Mike Sanford Jr.,800000.00,805850.00,400000.00,0.00,$0 ,"$1,200,000 "
Western Michigan,MAC,Tim Lester,800000.00,800000.00,346500.00,39250.00,$0 ,"$800,000 "
Wisconsin,Big Ten,Paul Chryst,3750000.00,3750000.00,--,290000.00,$0 ,"$6,000,000 "
Wyoming,Mt. West,Craig Bohl,1412000.00,1412000.00,450000.00,236000.00,$0 ,"$8,016,667 "
