Cohort,School,Conference,Sport,State,GSR,FGR
1999,University of Akron,Mid-American Conference,Football,OH,60,55
1999,Alabama A&M University,Southwestern Athletic Conf.,Football,AL,81,65
1999,Alabama State University,Southwestern Athletic Conf.,Football,AL,42,41
1999,University of Alabama,Southeastern Conference,Football,AL,44,46
1999,University of Alabama at Birmingham,Conference USA,Football,AL,47,47
1999,Alcorn State University,Southwestern Athletic Conf.,Football,MS,85,31
1999,Appalachian State University,Southern Conference,Football,NC,66,49
1999,Arizona State University,Pac-12 Conference,Football,AZ,56,53
1999,University of Arizona,Pac-12 Conference,Football,AZ,39,33
1999,Arkansas State University,Sun Belt Conference,Football,AR,59,41
1999,"University of Arkansas, Fayetteville",Southeastern Conference,Football,AR,55,46
1999,Auburn University,Southeastern Conference,Football,AL,63,56
1999,Austin Peay State University,Pioneer Football League,Football,TN,39,14
1999,Ball State University,Mid-American Conference,Football,IN,88,78
1999,Charleston Southern University,Big South Conference,Football,SC,35,32
1999,Baylor University,Big 12 Conference,Football,TX,85,68
1999,Bethune-Cookman University,Mid-Eastern Athletic Conf.,Football,FL,63,33
1999,Boise State University,Western Athletic Conference,Football,ID,65,51
1999,Boston College,Atlantic Coast Conference,Football,MA,96,91
1999,Bowling Green State University,Mid-American Conference,Football,OH,75,54
1999,Brigham Young University,Mountain West Conference,Football,UT,53,28
1999,Bucknell University,Patriot League,Football,PA,95,91
1999,"University at Buffalo, the State University of New York",Mid-American Conference,Football,NY,73,60
1999,Butler University,Pioneer Football League,Football,IN,84,
1999,California Polytechnic State University,Great West Football Conference,Football,CA,68,58
1999,"California State University, Fresno",Western Athletic Conference,Football,CA,51,44
1999,"California State University, Sacramento",Big Sky Conference,Football,CA,59,50
1999,"University of California, Berkeley",Pac-12 Conference,Football,CA,44,37
1999,"University of California, Davis",Independent,Football,CA,90,100
1999,"University of California, Los Angeles",Pac-12 Conference,Football,CA,59,53
1999,Central Connecticut State University,Northeast Conference,Football,CT,100,
1999,University of Central Florida,Conference USA,Football,FL,42,31
1999,Central Michigan University,Mid-American Conference,Football,MI,70,59
1999,University of Cincinnati,American Athletic Conference,Football,OH,60,63
1999,The Citadel,Southern Conference,Football,SC,96,69
1999,Clemson University,Atlantic Coast Conference,Football,SC,77,59
1999,Colgate University,Patriot League,Football,NY,91,83
1999,Colorado State University,Mountain West Conference,Football,CO,57,48
1999,"University of Colorado, Boulder",Big 12 Conference,Football,CO,68,62
1999,University of Connecticut,American Athletic Conference,Football,CT,76,55
1999,Davidson College,Pioneer Football League,Football,NC,100,
1999,University of Dayton,Pioneer Football League,Football,OH,96,
1999,Delaware State University,Mid-Eastern Athletic Conf.,Football,DE,60,49
1999,University of Delaware,Atlantic 10 Conference,Football,DE,80,71
1999,Drake University,Pioneer Football League,Football,IA,79,
1999,Duke University,Atlantic Coast Conference,Football,NC,93,86
1999,Duquesne University,Metro Atlantic Athletic Conference,Football,PA,82,
1999,East Carolina University,Conference USA,Football,NC,78,68
1999,Eastern Illinois University,Ohio Valley Conference,Football,IL,62,49
1999,Eastern Kentucky University,Ohio Valley Conference,Football,KY,56,48
1999,Eastern Michigan University,Mid-American Conference,Football,MI,55,62
1999,Eastern Washington University,Big Sky Conference,Football,WA,70,42
1999,Florida A&M University,Mid-Eastern Athletic Conf.,Football,FL,25,22
1999,Florida State University,Atlantic Coast Conference,Football,FL,52,42
1999,University of Florida,Southeastern Conference,Football,FL,80,42
1999,Fordham University,Patriot League,Football,NY,87,72
1999,Furman University,Southern Conference,Football,SC,97,82
1999,Georgetown University,Patriot League,Football,DC,98,97
1999,Georgia Southern University,Southern Conference,Football,GA,61,57
1999,Georgia Institute of Technology,Atlantic Coast Conference,Football,GA,55,48
1999,University of Georgia,Southeastern Conference,Football,GA,40,39
