DATATAB_SCHOOL_INFO,SCL_UNITID,SCL_NAME,SCL_DIVISION,SCL_SUBDIVISION,SCL_CONFERENCE,SCL_HBCU,SCL_PRIVATE,DATATAB_4YR_OVERALL_FED_SA,FED_N_SA,FED_RATE_SA,DATATAB_4YR_OVERALL_ASR_SA,ASR_N_SA,ASR_SA,DATATAB_4YR_Gender_fed_SA,FED_N_MALE_SA,FED_RATE_MALE_SA,FED_N_FEMALE_SA,FED_RATE_FEMALE_SA,DATATAB_4YR_GENDER_ASR_SA,ASR_N_MALE_SA,ASR_MALE_SA,ASR_N_FEMALE_SA,ASR_FEMALE_SA,DATATAB_4YR_RACE_FED_SA,FED_RATE_AA_SA,FED_RATE_HSP_SA,FED_RATE_OTHER_SA,FED_RATE_WH_SA,DATATAB_4YR_RACE_ASR_SA,ASR_AA_SA,ASR_HSP_SA,ASR_OTHER_SA,ASR_WH_SA,DATATAB_4YR_GENDERRACE_FED_SA,FED_RATE_MALE_AA_SA,FED_RATE_MALE_HSP_SA,FED_RATE_MALE_OTHER_SA,FED_RATE_MALE_WH_SA,FED_RATE_FEMALE_AA_SA,FED_RATE_FEMALE_HSP_SA,FED_RATE_FEMALE_OTHER_SA,FED_RATE_FEMALE_WH_SA,DATATAB_4YR_GENDERRACE_ASR_SA,ASR_MALE_AA_SA,ASR_MALE_HSP_SA,ASR_MALE_OTHER_SA,ASR_MALE_WH_SA,ASR_FEMALE_AA_SA,ASR_FEMALE_HSP_SA,ASR_FEMALE_OTHER_SA,ASR_FEMALE_WH_SA,DATATAB_SINGLEYR_OVERALL_FED_SA,FED_N_2011_SA,FED_N_2010_SA,FED_N_2009_SA,FED_N_2008_SA,FED_N_2007_SA,FED_N_2006_SA,FED_N_2005_SA,FED_N_2004_SA,FED_N_2003_SA,FED_N_2002_SA,FED_N_2001_SA,FED_N_2000_SA,FED_N_1999_SA,FED_N_1998_SA,FED_N_1997_SA,FED_N_1996_SA,FED_N_1995_SA,FED_RATE_2011_SA,FED_RATE_2010_SA,FED_RATE_2009_SA,FED_RATE_2008_SA,FED_RATE_2007_SA,FED_RATE_2006_SA,FED_RATE_2005_SA,FED_RATE_2004_SA,FED_RATE_2003_SA,FED_RATE_2002_SA,FED_RATE_2001_SA,FED_RATE_2000_SA,FED_RATE_1999_SA,FED_RATE_1998_SA,FED_RATE_1997_SA,FED_RATE_1996_SA,FED_RATE_1995_SA,DATATAB_SINGLEYR_OVERALL_ASR_SA,ASR_N_2011_SA,ASR_N_2010_SA,ASR_N_2009_SA,ASR_N_2008_SA,ASR_N_2007_SA,ASR_N_2006_SA,ASR_N_2005_SA,ASR_N_2004_SA,ASR_N_2003_SA,ASR_N_2002_SA,ASR_N_2001_SA,ASR_N_2000_SA,ASR_N_1999_SA,ASR_N_1998_SA,ASR_N_1997_SA,ASR_N_1996_SA,ASR_N_1995_SA,ASR_2011_SA,ASR_2010_SA,ASR_2009_SA,ASR_2008_SA,ASR_2007_SA,ASR_2006_SA,ASR_2005_SA,ASR_2004_SA,ASR_2003_SA,ASR_2002_SA,ASR_2001_SA,ASR_2000_SA,ASR_1999_SA,ASR_1998_SA,ASR_1997_SA,ASR_1996_SA,ASR_1995_SA,DATATAB_SINGLEYR_Gender_fed_SA,FED_RATE_MALE_2011_SA,FED_RATE_MALE_2010_SA,FED_RATE_MALE_2009_SA,FED_RATE_MALE_2008_SA,FED_RATE_MALE_2007_SA,FED_RATE_MALE_2006_SA,FED_RATE_MALE_2005_SA,FED_RATE_MALE_2004_SA,FED_RATE_MALE_2003_SA,FED_RATE_MALE_2002_SA,FED_RATE_MALE_2001_SA,FED_RATE_MALE_2000_SA,FED_RATE_MALE_1999_SA,FED_RATE_MALE_1998_SA,FED_RATE_MALE_1997_SA,FED_RATE_MALE_1996_SA,FED_RATE_MALE_1995_SA,FED_RATE_FEMALE_2011_SA,FED_RATE_FEMALE_2010_SA,FED_RATE_FEMALE_2009_SA,FED_RATE_FEMALE_2008_SA,FED_RATE_FEMALE_2007_SA,FED_RATE_FEMALE_2006_SA,FED_RATE_FEMALE_2005_SA,FED_RATE_FEMALE_2004_SA,FED_RATE_FEMALE_2003_SA,FED_RATE_FEMALE_2002_SA,FED_RATE_FEMALE_2001_SA,FED_RATE_FEMALE_2000_SA,FED_RATE_FEMALE_1999_SA,FED_RATE_FEMALE_1998_SA,FED_RATE_FEMALE_1997_SA,FED_RATE_FEMALE_1996_SA,FED_RATE_FEMALE_1995_SA,DATATAB_SINGLEYR_GENDER_ASR_SA,ASR_MALE_2011_SA,ASR_MALE_2010_SA,ASR_MALE_2009_SA,ASR_MALE_2008_SA,ASR_MALE_2007_SA,ASR_MALE_2006_SA,ASR_MALE_2005_SA,ASR_MALE_2004_SA,ASR_MALE_2003_SA,ASR_MALE_2002_SA,ASR_MALE_2001_SA,ASR_MALE_2000_SA,ASR_MALE_1999_SA,ASR_MALE_1998_SA,ASR_MALE_1997_SA,ASR_MALE_1996_SA,ASR_MALE_1995_SA,ASR_FEMALE_2011_SA,ASR_FEMALE_2010_SA,ASR_FEMALE_2009_SA,ASR_FEMALE_2008_SA,ASR_FEMALE_2007_SA,ASR_FEMALE_2006_SA,ASR_FEMALE_2005_SA,ASR_FEMALE_2004_SA,ASR_FEMALE_2003_SA,ASR_FEMALE_2002_SA,ASR_FEMALE_2001_SA,ASR_FEMALE_2000_SA,ASR_FEMALE_1999_SA,ASR_FEMALE_1998_SA,ASR_FEMALE_1997_SA,ASR_FEMALE_1996_SA,ASR_FEMALE_1995_SA,DATATAB_4YR_OVERALL_FED_SB,FED_N_SB,FED_RATE_SB,DATATAB_4YR_Gender_fed_SB,FED_N_MALE_SB,FED_RATE_MALE_SB,FED_N_FEMALE_SB,FED_RATE_FEMALE_SB,DATATAB_4YR_RACE_FED_SB,FED_RATE_AA_SB,FED_RATE_HSP_SB,FED_RATE_OTHER_SB,FED_RATE_WH_SB,DATATAB_4YR_GENDERRACE_FED_SB,FED_RATE_MALE_AA_SB,FED_RATE_MALE_HSP_SB,FED_RATE_MALE_OTHER_SB,FED_RATE_MALE_WH_SB,FED_RATE_FEMALE_AA_SB,FED_RATE_FEMALE_HSP_SB,FED_RATE_FEMALE_OTHER_SB,FED_RATE_FEMALE_WH_SB,DATATAB_SINGLEYR_OVERALL_FED_SB,FED_RATE_2011_SB,FED_RATE_2010_SB,FED_RATE_2009_SB,FED_RATE_2008_SB,FED_RATE_2007_SB,FED_RATE_2006_SB,FED_RATE_2005_SB,FED_RATE_2004_SB,FED_RATE_2003_SB,FED_RATE_2002_SB,FED_RATE_2001_SB,FED_RATE_2000_SB,FED_RATE_1999_SB,FED_RATE_1998_SB,FED_RATE_1997_SB,FED_RATE_1996_SB,FED_RATE_1995_SB,DATATAB_SINGLEYR_Gender_fed_SB,FED_RATE_MALE_2011_SB,FED_RATE_MALE_2010_SB,FED_RATE_MALE_2009_SB,FED_RATE_MALE_2008_SB,FED_RATE_MALE_2007_SB,FED_RATE_MALE_2006_SB,FED_RATE_MALE_2005_SB,FED_RATE_MALE_2004_SB,FED_RATE_MALE_2003_SB,FED_RATE_MALE_2002_SB,FED_RATE_MALE_2001_SB,FED_RATE_MALE_2000_SB,FED_RATE_MALE_1999_SB,FED_RATE_MALE_1998_SB,FED_RATE_MALE_1997_SB,FED_RATE_MALE_1996_SB,FED_RATE_MALE_1995_SB,FED_RATE_FEMALE_2011_SB,FED_RATE_FEMALE_2010_SB,FED_RATE_FEMALE_2009_SB,FED_RATE_FEMALE_2008_SB,FED_RATE_FEMALE_2007_SB,FED_RATE_FEMALE_2006_SB,FED_RATE_FEMALE_2005_SB,FED_RATE_FEMALE_2004_SB,FED_RATE_FEMALE_2003_SB,FED_RATE_FEMALE_2002_SB,FED_RATE_FEMALE_2001_SB,FED_RATE_FEMALE_2000_SB,FED_RATE_FEMALE_1999_SB,FED_RATE_FEMALE_1998_SB,FED_RATE_FEMALE_1997_SB,FED_RATE_FEMALE_1996_SB,FED_RATE_FEMALE_1995_SB
,100706,University of Alabama in Huntsville,2,0,Gulf South Conference,2,0,,247,57,,301,71,,117,59,130,56,,154,70,147,71,,53,50,54,59,,54,67,73,74,,53,100,56,61,52,0,50,59,,55,67,76,71,54,,67,77,,70,62,60,55,64,68,51,55,55,51,33,52,38,39,32,38,43,67,52,50,60,64,60,55,56,67,73,52,62,61,44,50,53,63,,86,74,80,61,81,71,62,57,63,70,38,58,55,43,32,38,47,80,68,65,69,79,76,61,74,79,74,68,78,75,49,50,53,70,,69,50,50,64,53,61,61,46,63,58,47,57,57,42,50,50,48,65,53,50,58,79,59,48,67,71,85,56,66,65,45,50,55,88,,78,68,65,64,71,76,62,63,73,68,58,77,75,52,50,50,61,83,67,65,73,87,77,61,85,88,81,86,78,74,45,50,55,88,,2791,48,,1567,45,1224,52,,32,37,54,51,,27,31,46,48,36,44,62,55,,49,49,49,46,48,47,45,44,48,48,44,44,44,45,44,36,41,,45,45,48,43,43,43,40,40,45,45,41,42,40,39,40,32,36,53,54,51,50,54,52,52,48,50,51,47,46,49,50,48,41,47
,101587,University of West Alabama,2,0,Gulf South Conference,2,0,,168,56,,349,59,,110,49,58,69,,249,47,100,88,,49,33,83,56,,36,67,66,78,,48,50,67,49,60,0,89,67,,29,67,50,70,81,,91,90,,69,35,24,40,34,51,40,45,60,30,37,47,32,37,32,31,23,46,34,79,78,29,47,48,22,13,37,35,23,38,38,47,35,30,,127,69,71,82,51,45,138,83,104,75,79,37,24,33,32,31,23,50,51,62,77,49,87,36,45,38,44,23,49,100,42,47,35,30,,39,26,71,76,32,44,46,19,8,33,32,21,24,30,25,26,13,57,63,100,80,25,53,50,38,24,42,44,38,86,60,69,100,63,,41,40,43,69,41,84,32,39,32,41,21,41,100,33,25,26,13,76,93,96,93,63,93,50,75,54,53,36,100,100,67,69,100,63,,1248,32,,565,26,683,36,,24,57,37,37,,18,38,38,31,28,67,36,43,,33,31,29,33,32,34,30,31,42,32,21,27,31,35,26,30,30,,25,25,30,26,22,29,22,25,31,30,17,16,22,26,20,24,26,41,36,28,38,40,40,36,39,49,34,27,37,39,42,32,35,34
,101675,Miles College,2,0,Southern Intercol. Ath. Conf.,1,1,,111,37,,188,48,,84,31,27,56,,141,38,47,79,,36,,,50,,47,100,,67,,30,,,40,54,,,100,,37,100,,50,77,,,100,,53,7,23,28,11,17,18,10,24,23,36,164,27,112,8,21,109,32,14,43,46,36,47,50,60,25,9,31,36,44,92,0,29,12,,71,35,41,41,31,20,16,6,25,11,86,189,27,108,8,21,109,35,51,51,66,52,45,63,100,48,18,26,35,44,95,0,29,12,,30,0,35,33,33,50,55,67,19,15,79,31,40,90,0,33,13,43,25,67,70,40,33,43,57,38,0,0,46,50,96,0,22,7,,33,46,34,46,52,50,55,100,50,40,52,30,40,92,0,33,13,45,71,92,94,50,33,80,100,47,0,0,46,50,100,0,22,7,,228,37,,177,29,51,65,,36,100,,38,,28,100,,30,65,,,67,,24,47,42,48,76,15,20,25,21,18,0,50,69,0,71,73,82,,23,43,29,31,72,11,16,13,17,13,0,32,41,0,67,67,78,36,63,88,76,100,20,24,39,24,23,0,68,93,0,76,79,85
,101709,University of Montevallo,2,0,Gulf South Conference,2,0,,130,61,,214,72,,63,59,67,63,,128,67,86,80,,54,67,88,59,,57,86,79,76,,50,67,83,56,57,,100,62,,50,86,75,71,71,,83,82,,47,32,23,28,37,33,28,24,24,25,27,26,21,32,22,23,27,53,63,57,75,57,67,50,71,38,64,44,54,48,56,36,35,70,,66,55,43,50,64,64,49,40,50,47,35,49,48,32,22,23,27,73,64,81,74,66,69,57,73,58,79,71,73,54,56,36,35,70,,48,67,50,71,46,60,60,91,20,83,41,42,38,60,46,50,60,59,59,59,82,63,70,44,54,50,58,50,64,63,53,22,11,76,,72,56,69,72,60,73,55,72,46,68,67,71,53,60,46,50,60,73,76,100,78,72,66,60,73,69,88,82,80,57,53,22,11,76,,1838,47,,588,40,1250,51,,43,54,42,48,,38,46,39,41,46,61,43,52,,50,50,45,44,45,47,43,41,45,52,47,41,45,43,42,43,47,,39,41,44,39,41,38,40,35,35,40,40,39,40,40,41,39,32,56,53,45,47,47,51,45,44,49,57,51,42,48,45,43,45,54
,101879,University of North Alabama,2,0,Gulf South Conference,2,0,,214,47,,329,66,,133,35,81,67,,226,54,103,91,,27,33,33,56,,37,50,68,79,,20,0,0,49,83,50,71,65,,31,0,36,72,91,100,100,90,,49,52,47,66,61,41,51,67,38,40,43,36,40,31,25,34,17,57,37,43,50,39,39,45,28,39,38,40,47,43,61,52,56,35,,62,89,77,101,96,54,70,64,56,64,64,42,75,31,25,34,17,85,48,69,66,50,74,69,55,64,48,47,67,60,61,52,56,35,,37,26,33,42,28,31,43,21,26,37,34,38,39,53,36,57,40,89,59,59,61,59,53,48,39,53,38,50,60,47,69,64,55,29,,75,36,62,55,39,70,60,48,58,42,35,52,49,53,36,57,40,97,86,89,91,81,86,90,72,75,71,100,93,86,69,64,55,29,,3966,41,,1711,33,2255,48,,27,45,28,46,,19,31,24,38,34,61,33,52,,45,43,38,39,32,32,33,33,39,41,40,38,38,37,38,37,38,,35,36,31,31,24,23,27,24,31,32,28,29,30,28,28,33,33,51,49,45,46,39,40,38,41,44,47,49,44,43,42,45,41,41
,102377,Tuskegee University,2,0,Southern Intercol. Ath. Conf.,1,1,,270,50,,346,60,,188,44,82,65,,249,52,97,79,,50,100,100,100,,59,67,100,100,,43,100,100,100,65,,,,,51,67,100,100,79,,,,,109,59,73,29,36,47,27,31,17,37,30,12,29,13,16,10,24,50,56,48,45,28,49,41,48,76,41,57,33,45,54,63,40,50,,106,77,95,68,48,52,40,64,52,65,53,27,39,13,16,10,24,62,69,49,60,46,71,58,61,79,63,70,44,56,54,63,40,50,,44,53,38,40,23,46,41,48,70,33,54,27,42,55,60,57,42,74,63,58,75,40,58,40,50,86,71,67,100,67,50,67,0,80,,55,65,39,49,39,68,50,55,79,53,63,38,50,55,60,57,42,88,80,68,89,86,83,88,80,79,94,92,100,86,50,67,0,80,,3240,46,,1480,51,1760,41,,46,33,32,58,,53,0,23,56,41,100,40,62,,27,61,45,43,43,46,43,46,41,46,49,50,42,48,51,50,45,,30,71,44,42,36,40,37,41,33,33,39,40,32,38,40,43,35,25,49,46,44,49,50,49,51,48,55,56,57,50,54,56,54,52
,102553,University of Alaska Anchorage,2,0,Great Northwest Athletic Conference,2,0,,133,51,,152,71,,58,55,75,48,,78,67,74,76,,33,0,52,53,,19,,79,79,,67,,55,53,17,0,48,53,,22,,78,66,17,,81,90,,31,42,27,33,31,28,30,31,27,18,23,24,17,16,39,23,33,52,43,44,67,55,50,50,23,30,61,30,58,41,38,31,52,48,,34,35,33,50,53,40,52,50,39,45,35,38,33,28,43,29,48,74,74,70,68,57,53,65,40,41,58,51,74,58,64,40,59,65,,64,53,50,55,48,69,44,27,40,55,20,54,50,33,19,25,42,41,35,38,73,70,33,57,19,24,71,38,64,29,50,54,82,67,,79,74,64,57,50,58,79,36,46,58,50,83,57,44,32,40,59,70,75,82,78,64,48,58,44,38,57,52,65,58,92,58,79,79,,4107,26,,1813,23,2294,29,,16,25,21,30,,16,18,20,26,17,29,22,34,,25,25,27,28,28,26,25,25,27,24,22,25,26,22,20,24,0,,25,23,21,22,24,21,24,21,19,16,21,22,22,21,19,14,0,26,26,32,32,31,29,26,28,31,30,23,26,28,22,22,30,0
,102614,University of Alaska Fairbanks,2,0,Great Northwest Athletic Conference,2,0,,110,60,,153,69,,55,51,55,69,,72,68,81,70,,50,,68,57,,56,0,72,71,,0,,74,41,75,,60,72,,70,,76,62,38,0,67,78,,41,28,23,18,27,29,26,21,15,34,37,19,12,45,26,22,4,68,54,65,44,44,52,50,48,27,38,43,84,42,58,54,50,75,,46,38,37,32,31,45,37,29,26,34,36,27,12,45,26,22,4,85,58,70,59,52,53,62,59,38,76,75,78,42,58,54,50,75,,63,43,50,40,33,59,17,41,43,43,39,85,43,55,55,47,100,73,64,82,50,53,42,79,75,13,17,47,83,40,64,50,60,67,,90,59,65,56,33,61,43,47,36,67,87,74,43,55,55,47,100,81,57,75,64,77,41,74,80,40,92,67,88,40,64,50,60,67,,1726,40,,820,37,906,43,,38,41,34,43,,40,31,35,37,36,49,34,49,,38,39,41,42,32,29,27,29,23,19,22,29,23,27,24,25,2,,35,34,39,39,28,28,21,28,24,17,21,29,21,20,20,23,1,41,44,42,45,37,30,32,31,23,21,23,28,26,35,28,28,3
,106467,Arkansas Tech University,2,0,Great American Conference,2,0,,216,33,,368,58,,160,29,56,46,,285,51,83,82,,27,40,8,39,,38,45,69,69,,28,50,11,30,0,33,0,54,,38,44,53,61,43,50,91,86,,62,57,51,46,55,50,62,46,49,54,42,37,35,37,38,38,24,29,28,43,35,38,42,50,41,39,43,31,49,54,57,50,37,58,,95,115,79,79,107,94,69,57,102,70,73,48,56,37,38,38,24,59,50,63,62,51,54,65,61,41,64,53,77,75,57,50,37,58,,29,28,36,24,25,35,40,40,46,35,24,45,53,48,50,37,53,30,30,52,62,63,56,68,44,29,52,56,63,67,80,50,38,80,,51,48,52,53,40,46,54,55,33,56,45,73,70,48,50,37,53,90,58,91,86,80,78,95,80,71,89,92,91,100,80,50,38,80,,5594,42,,2749,37,2845,47,,20,33,37,45,,21,26,31,40,19,39,43,50,,41,38,47,45,41,41,43,37,38,37,38,38,18,37,36,41,38,,37,34,40,39,39,36,42,35,35,33,34,34,0,34,33,39,34,44,42,53,51,42,45,44,39,40,40,43,41,38,41,38,42,41
,106485,"University of Arkansas, Monticello",2,0,Great American Conference,2,0,,131,25,,305,55,,96,20,35,40,,229,48,76,76,,22,0,0,29,,39,36,58,72,,25,0,0,17,0,0,0,54,,36,40,57,64,62,25,60,85,,48,31,22,30,31,42,28,28,7,24,17,19,20,22,14,25,20,35,13,41,10,26,36,43,18,57,13,29,47,45,23,14,24,30,,73,96,64,72,58,94,54,54,47,38,37,40,52,21,14,25,20,52,58,58,51,40,47,63,20,45,34,35,53,40,24,14,24,30,,34,10,27,4,26,28,39,8,0,0,27,44,36,22,0,21,25,40,20,55,50,25,47,60,100,100,38,50,67,67,25,67,33,50,,51,51,48,41,33,37,53,11,28,21,27,47,33,22,0,21,25,57,75,88,83,70,75,93,75,80,70,71,70,70,33,67,33,50,,2251,22,,1119,20,1132,24,,8,43,16,30,,8,42,12,27,8,44,21,33,,20,18,25,25,22,27,26,24,25,25,25,25,30,26,21,26,25,,18,17,20,24,17,22,23,22,24,22,21,21,24,23,17,25,23,22,20,29,26,27,31,28,26,26,27,28,28,35,28,25,27,26
