Stadium,City,State,Team,Conference,Capacity,Record1,Built,Expanded,Surface
Aggie Memorial Stadium,Las Cruces,NM,New Mexico State,Independent,30343,32993,1978,2005,S5-M Synthetic Turf
Alamodome,San Antonio,TX,UTSA,C-USA,65000,56743,1993,,SportField
Alaska Airlines Field at Husky Stadium,Seattle,WA,Washington,Pac-12,70500,76125,1920,2013,FieldTurf
Albertsons Stadium,Boise,ID,Boise State,Mountain West,36387,36864,1970,2012,Smurf Turf
Allen E. Paulson Stadium,Statesboro,GA,Georgia Southern,Sun Belt,25000,25735,1984,2014,Shaw Legion 41 Synthetic Turf
Aloha Stadium,Honolulu,HI,Hawai?i,Mountain West,50000,50000,1975,2003,FieldTurf
Alumni Stadium,Chestnut Hill,MA,Boston College,ACC,44500,44500,1957,1995,AstroTurf
Amon G. Carter Stadium,Fort Worth,TX,TCU,Big 12,45000,50307,1929,2012,Grass
Apogee Stadium,Denton,TX,North Texas,C-USA,30850,28075,2011,N/A,PowerBlade Artificial Turf
Arizona Stadium,Tucson,AZ,Arizona,Pac-12,56029,59920,1928,1988,FieldTurf
Arthur L. Williams Stadium,Lynchburg,VA,Liberty,Independent(2018),25000,22551,1989,2018,FieldTurf
Autzen Stadium,Eugene,OR,Oregon,Pac-12,54000,60055,1967,2002,FieldTurf
Bagwell Field at Dowdy–Ficklen Stadium,Greenville,NC,East Carolina,American,50000,51082,1963,2010,Tifton 419 Hybrid Bermuda
BB&T Field,Winston-Salem,NC,Wake Forest,ACC,31500,37623,1968,2007,FieldTurf
Beaver Stadium,University Park,PA,Penn State,Big Ten,106572,110889,1960,2001,Grass
Benson Field at Yulman Stadium,New Orleans,LA,Tulane,American,30000,30000,2014,,Act Global UBU Speed Series S5-M
Bill Snyder Family Football Stadium,Manhattan,KS,Kansas State,Big 12,50000,53811,1968,2005,Synthetic Turf
Blaik Field at Michie Stadium,West Point,NY,Army,Independent,38000,42765,1924,2001,Field Turf
Bobby Bowden Field at Doak S. Campbell Stadium,Tallahassee,FL,Florida State,ACC,79560,84409,1950,2003,Grass
Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,Georgia Tech,ACC,55000,60316,1913,2003,Bermuda Grass
Boone Pickens Stadium,Stillwater,OK,Oklahoma State,Big 12,60218,60218,1919,2005,Astroturf 3D Decade
Brigham Field at Huskie Stadium,DeKalb,IL,NIU,MAC,23595,28221,1965,1995,FieldTurf
Brooks Field at Wallace Wade Stadium,Durham,NC,Duke,ACC,40000,57500,1929,2016,Latitude 36 Bermuda Grass
Brooks Stadium,Conway,SC,Coastal Carolina,Sun Belt,20000,,2003,2018,FieldTurf
Bryant–Denny Stadium,Tuscaloosa,AL,Alabama,SEC,101821,101821,1929,2010,Grass
Bulldog Stadium at Jim Sweeney Field,Fresno,CA,Fresno State,Mountain West,41031,42881,1980,1992,FieldTurf
Cajun Field,Lafayette,LA,Louisiana,Sun Belt,41426,41357,1971,2015,ProGrass
California Memorial Stadium,Berkeley,CA,California,Pac-12,62717,83000,1923,2012,FieldTurf
Camp Randall Stadium,Madison,WI,Wisconsin,Big Ten,80321,83184,1917,2005,FieldTurf
Capital One Field at Maryland Stadium,College Park,MD,Maryland,Big Ten,51802,58973,1950,2009,FieldTurf
Cardinal Stadium(37),Louisville,KY,Louisville,ACC,61000,55632,1998,2018,FieldTurf
Carl Smith Center Home of David A. Harrison III Field at Scott Stadium,Charlottesville,VA,Virginia,ACC,61500,64947,1931,2000,Grass
Carlisle-Faulkner Field at M.M. Roberts Stadium,Hattiesburg,MS,Southern Miss,C-USA,36000,36641,1932,2008,Shaw Sports Momentum Turf
