,School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,Buyout,Rank,Games Won,Games Lost,Games Tied,Games Played,Win_Percent,Fuzzy_Score_Record,match_name_Record,School_Record,Stadium,City,State_x,Capacity,Record1,Built,Expanded,Surface,Conference_Stadium,Capacity_Thousands,Fuzzy_Score_Stadium,match_name_Stadium,School_Stadium,State_y,GSR,FGR,Conference_GradFB,Fuzzy_Score_GradFB,match_name_GradFB,School_FBgrad,Total Revenue,Total Expenses,Total Allocated,FinancialRank,Percent_Allocated,Conference_Finance,Fuzzy_Score_finance,match_name_finance,School_finance
0,Air Force,Mt. West,Troy Calhoun,885000,885000,247000,--,--,81t,4,8,0,12,0.33333,100,Air Force,Air Force,,,,,,,,,,,,,,,,,,,,,59577780,50112617,33339247,55,55.96,Mt. West,100,Air Force,Air Force
1,Akron,MAC,Terry Bowden,411000,412500,225000,50000,"$688,500 ",72t,5,7,0,12,0.41667,100,Akron,Akron,InfoCision Stadium–Summa Field,Akron,OH,30000,27881,2009,,ProGrass Artificial Turf,MAC,30,100,Akron,Akron,OH,60,55,MAC,100,Akron,Akron,35331217,33895809,24641163,81,69.74,MAC,100,Akron,Akron
2,Alabama,SEC,Nick Saban,8307000,8307000,1100000,500000,"$33,600,000 ",117t,0,7,0,7,0,100,Alabama,Alabama,Bryant–Denny Stadium,Tuscaloosa,AL,101821,101821,1929,2010,Grass,SEC,101.821,100,Alabama,Alabama,AL,44,46,SEC,100,Alabama,Alabama,174307419,158646962,2938948,5,1.69,SEC,100,Alabama,Alabama
3,Alabama at Birmingham,C-USA,Bill Clark,900000,900000,950000,165471,"$3,847,500 ",,,,,,,,,,,,,,,,,,,,,,,AL,47,47,C-USA,100,Alabama at Birmingham,Alabama at Birmingham,24795218,23803547,15480428,124,62.43,C-USA,100,Alabama at Birmingham,Alabama at Birmingham
4,Appalachian State,Sun Belt,Scott Satterfield,712500,712500,295000,145000,"$2,160,417 ",,,,,,,,,,Kidd Brewer Stadium,Boone,NC,30000,35126,1962,2017,FieldTurf,Sun Belt,30,100,Appalachian State,Appalachian State,,,,,,,,35058621,35065566,21257458,82,60.63,Sun Belt,100,Appalachian State,Appalachian State
5,Arizona,Pac-12,Kevin Sumlin,1600000,2000000,2025000,--,"$10,000,000 ",60t,6,6,0,12,0.5,100,Arizona,Arizona,Arizona Stadium,Tucson,AZ,56029,59920,1928,1988,FieldTurf,Pac-12,56.029,100,Arizona,Arizona,AZ,39,33,Pac-12,100,Arizona,Arizona,90976758,91756963,10069281,41,11.07,Pac-12,100,Arizona,Arizona
6,Arizona State,Pac-12,Herm Edwards,2000000,2000000,3010000,--,"$8,166,667 ",50t,7,6,0,13,0.53846,100,Arizona State,Arizona State,Sun Devil Stadium Frank Kush Field,Tempe,AZ,56232,74963,1958,2016,Bermuda Grass,Pac-12,56.232,100,Arizona State,Arizona State,AZ,56,53,Pac-12,100,Arizona State,Arizona State,101579860,98825395,18866371,30,18.57,Pac-12,100,Arizona State,Arizona State
7,Arkansas,SEC,Chad Morris,3500000,3500000,1000000,--,"$12,500,000 ",22t,10,4,0,14,0.71429,100,Arkansas,Arkansas,Donald W. Reynolds Razorback Stadium Frank Broyles Field,Fayetteville,AR,72000,76808,1938,2006,PowerBlade HP,SEC,72,100,Arkansas,Arkansas,,,,,,,,129680808,112902474,0,19,0,SEC,100,Arkansas,Arkansas
8,Arkansas State,Sun Belt,Blake Anderson,825000,825000,185000,25000,"$300,000 ",60t,6,6,0,12,0.5,100,Arkansas State,Arkansas State,Centennial Bank Stadium,Jonesboro,AR,30964,31243,1974,2002,ProGreen,Sun Belt,30.964,100,Arkansas State,Arkansas State,AR,59,41,Sun Belt,100,Arkansas State,Arkansas State,39459027,39459027,12624293,73,31.99,Sun Belt,100,Arkansas State,Arkansas State
9,Army,Ind.,Jeff Monken,932521,932521,--,--,--,98t,3,9,0,12,0.25,100,Army,Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
